textDisplay,authorDisplayName,likeCount,publishedAt,sentimen,kategori
wkwkwkw imut🤣🤣🤣🤣🤣🤣🤣🤣,Batoanov J A Harianja,0,2022-05-25T07:09:46Z
AFiFcok,Apip Putra,0,2022-05-22T09:21:01Z
Rick roll mulu yg saya denger 😓,Sus_kiya?,1,2022-05-21T01:17:30Z
👍,Yusuf 9999,0,2022-05-20T07:32:52Z
YUSUF,Yusuf 9999,0,2022-05-20T07:15:11Z
:V,TUTI ZAKIAH,0,2022-05-18T10:12:10Z
semoga panjang umur dan sehat selalu ya kak Sena😃😃😃,Agha tuna,0,2022-05-15T09:51:02Z
lol,nor zuraini,0,2022-05-14T09:49:29Z
Thumbnail yg ramah,Palydemicgolfclash,0,2022-05-12T03:02:56Z
🗿i would rather get punch more then get rickrolled from random child<br>Indonesian<br>🗿Aku lebih baik kena tinju daripada kena rickrolled dari anak yang ga punya ayah,tiara nia,0,2022-05-11T13:03:19Z
THUMNAILENYA KO SUS GITU?????!!!,FNAF EDITS809,0,2022-05-09T03:47:59Z
Ye sena-chan,Mahendra,0,2022-05-08T00:31:41Z
Anjaaaaaaaaaaaaaaaayyyyy awokawokawokawokaowowkwoakwkow,rista,0,2022-05-04T05:30:40Z
Arti leak lewd itu apa,Angga Darmawan,0,2022-05-02T03:38:32Z
Mana bola nya kan gede kwkwwkwkwkwkk mana sena 🤑💯🥰😍😭,Angga Darmawan,0,2022-05-02T03:37:35Z
lucu cekali,kibo animation,0,2022-04-30T10:16:03Z
Wow Sena rickroll -_-,BeaconCream Kw,0,2022-04-30T06:08:25Z
